연번,시설명,위 치,주 소,경도,위도
1,혜남학교,1층 복도 좌측 도서관,부산 남구 진남로166번길 10-19 (대연동),129.0822558,35.14150187
2,혜남학교,1층 복도 좌측 도서관,부산 남구 진남로166번길 10-19 (대연동),129.0822558,35.14150187
3,대연역,1번 출구,부산 남구 수영로 지하 242 (대연동),129.086552,35.13531587
4,문현역,1번 출구,부산 남구 전포대로 지하 17 (문현동),129.0672008,35.13820126
5,못골역,4번 출구,부산 남구 수영로 지하 170 (대연동),129.0852146,35.13458872
6,남구청,1층 부산은행 맞은편,부산 남구 못골로 19 (대연동),129.0841098,35.13650057
7,지게골역,만남의 장소 인근,부산 남구 수영로 지하 70 (문현동),129.0747543,35.13516882
8,국제금융센터·부산은행역,전기실 맞은편,부산 남구 전포대로 지하 97 (문현동),129.0681894,35.13828267
9,부산문화회관,1층 대극장 밖 좌측(캐노피),부산 남구 유엔평화로76번길 1 (대연동),129.0934767,35.12718603
10,부산분포문화체육센터,1층 방풍실,부산 남구 백운포로 110 (용호동),129.1082028,35.10387725
11,부산환경공단 남부사업소,환경공원 입구(경비실 인근),부산 남구 이기대공원로11 (용호동),129.11642,35.12595
12,대연수목전시원,아열대식물체험관 바깥 잔디밭(캐노피),부산 남구 신선로447번길 24 (대연동),129.0985442,35.12544552
13,남구장애인복지관,1층 주간보호센터 쪽 복도,부산 남구 조각공원로11번길 38 (대연동),129.0992205,35.12923425
14,감만종합사회복지관,건물밖 화단 인근(캐노피),부산 남구 우암로 84-1 (감만동),129.0813474,35.11847034
