체육시설명,위치,설치년도,면적(제곱미터),유형,간이운동장,체력단련시설,부대편의시설,위도,경도
수안체육공원,부산광역시 동래구 수안동 7-11,1983,2049,공원 시유지,"농 구 장 1면, 게이트볼 1면, 배드민턴 2면",20종 40점,5종 18점,35.19951957,129.0810837
동래사적공원 체육시설,부산광역시 동래구 칠산동 산1-1,1983,8264,공원 산림청,"배드민턴 2면, 에어로빅 1면, 농 구 장 1면, 발지압장 1면",28종 43점,5종 18점,35.21146844,129.0896621
명륜동 체육시설,부산광역시 동래구 명륜동 산28-1 문화회관맞은편,1997,100,등산로 사유지,,17종 19점,2종 5점,35.2138203,129.0896713
도림사옆 체육시설,부산광역시 동래구 명륜동 산37,1998,700,등산로 사유지,게이트볼 1면,11종 13점,3종 7점,35.21373873,129.0858623
금강공원 체육시설,부산광역시 동래구 온천1동 산38-2,1983,2800,"공원, 시유지",발지압장 1면,22종 32점,3종 16점,35.2188634,129.0749855
온천2동 게이트볼장,부산광역시 동래구 온천2동 산69-1,1998,500,"등산로, 사유지",게이트볼 1면,,2종 8점,35.21484631,129.0667759
쇠미산 체육시설,부산광역시 동래구 사직2동 산33 유원APT 옆,1995,400,"등산로, 사유지",,18종 26점,2종 6점,35.2043516,129.0556123
구민의숲 체육시설,부산광역시 동래구 사직2동 산81-9 쇠미산정상,1996,482,"등산로, 사유지",,19종 29점,3종 14점,35.20087241,129.0488212
원광사위 체육시설,부산광역시 동래구 사직2동 산79 ,1998,300,"등산로, 사유지",,18종 27점,3종 10점,35.19316791,129.0535733
안락꿈돌이공원 체육시설,부산광역시 동래구 안락2동 455-8,1994,1615,"공원, 시유지",,8종 8점,1종 1점,35.19983117,129.1060432
옥봉산 체육시설,부산광역시 동래구 명장1동 산52,1997,180,"등산로, 종교",,14종 16점,2종 4점,35.20912083,129.1100215
수영강 둔치 체육시설,부산광역시 동래구 안락2동 50-1 재활용센타옆,2002,1408,"하천변, 시유지",,17종 24점,1종 6점,35.19531352,129.1137708
명장배수지상부 체육공원,부산광역시 동래구 명장1동 419-1,2006,6915,상수도시설상부,"게이트볼 2면, 배드민턴 2면, 인라인장 1면, 농구장 2면, 족구장 1면, 조깅트랙 1면, 발지압장 1면",16종 17점,9종 55점,35.20751586,129.1105265
안락2동 쌈지공원 체육시설,부산광역시 동래구 안락2동 472-86,2008,30,"마을공터, 공유지 ",,7종 7점,2종 9점,35.19756291,129.1116747
달북마을 체육시설,부산광역시 동래구 온천3동 산199,2009,300,"등산로, 사유지",,19종 23점,2종 8점,35.20841784,129.0583472
수산대 체육시설,부산광역시 동래구 온천2동 산96-3,2010,330,"등산로, 사유지",,17종 19점,2종 6점,35.21595384,129.0631892
금정마을길 주민쉼터,부산광역시 동래구 온천2동 1023-12,2010,16,"공원, 구유지",,6종 6점,1종 1점,35.21189711,129.0667921
동래구 클린센터 앞,부산광역시 동래구 안락2동 15-45,2010,10,"주민쉼터, 구유지",,3종 3점,,35.19979488,129.1142222
온천동 족구장,부산광역시 동래구 온천동 1108-6(방재창고 옆),2016,500,구유지,족구장1면,,,35.21538226,129.0653827
도시철도 명장역 체육시설,부산광역시 동래구 명장동 23-4,2019,50,,,1종1점,,35.20608303,129.1017332
수영강 둔치 체육시설,"부산광역시 동래구 안락동 1063-1, 48-1",2020,950,,족구장1면,,5종12점,35.19433981,129.1143703
