연번,시설유형,시설명,소재지,정원,시설규모(m2),전화번호
1,장애인복지관,수영구장애인복지관,수영구 장대골로 75-14(광안동),,1769.05,051-717-0290
2,장애인주간보호시설,가톨릭농아인복지회 주간보호시설,수영구 광일로29번길 59(광안동),16,1033,051-751-8693
3,장애인주간보호시설,참누리장애인주간보호시설,수영구 금련로43번길 54(망미동),28,103.96,051-755-3476
4,장애인주간보호시설,지니장애인주간보호시설,수영구 연수로269번길 11(망미동),15,97.14,051-756-2332
5,장애인주간보호시설,두드림장애인주간보호시설,수영구 망미번영로63번길 60(망미동),15,84.11,051-756-0269
6,장애인주간보호시설,수영구장애인주간보호센터,수영구 광남로 218-4(민락동),15,86.98,051-759-1595
7,장애인주간보호시설,해찬장애인주간보호센터,"수영구 망미로28번길 39, 102호(망미동)",11,82.95,051-711-4255
8,수어통역센터,수영구 수어통역센터,수영구 수영로 569(광안동),,88.86,051-759-9344
9,장애인공동생활가정,참사랑 장애인공동생활가정,"수영구 남천바다로21번길 79, 1-105(광안동)",4,84.99,051-755-5871
10,장애인공동생활가정,사랑나눔터 장애인공동생활가정,"수영구 수미로42번길 20(망미동, 1층)",4,74,051-752-5478
11,장애인공동생활가정,한빛 장애인공동생활가정,"수영구 수미로42번길 20(망미동, 2층)",4,72,051-752-0266
12,장애인공동생활가정,나사함사랑 장애인공동생활가정,"수영구 망미번영로16번나길 38-11, 2층(광안동)",4,81.9,070-8968-5901
13,장애인공동생활가정,편안한집 장애인공동생활가정,"수영구 수영로610번길 112, A동 101호(광안동)",4,79.67,051-754-8080
14,장애인직업재활시설,도영하우스 ,"수영구 수영로 690-5, 402호(광안동)",40,175.2,051-714-0030
15,장애인직업재활시설,징검다리 ,수영구 과정로91번길 19-2(망미동),20,94.66,051-755-0383
