구군명,시설명,시설장,소재지,위도,경도,정원,전화번호,설치일자,운영자 구분,운영자
부산광역시 중구,중구장애아동주간보호센터,조혜영,부산광역시 중구 망양로 309,35.10578162,129.0282438,10,051-441-9224,2003-07-19,사회복지법인,로사리오 카리타스
부산광역시 중구,중구장애인주간보호시설,김영석,부산광역시 중구 초량상로5번길 20,35.11289758,129.0341364,10,051-466-9887,2021-07-01,사회복지법인,빛과소금복지재단
부산광역시 서구,서구장애인주간보호센터,조휴정,부산광역시 서구 망양로 193번길 104,35.11117899,129.0263591,15,051-253-1986,2002-11-29,사회복지법인,로사리오 카리타스
부산광역시 서구,서구장애인복지관 주간보호센터,김대우,부산광역시 서구 보수대로154번길 36,35.11067954,129.0235995,20,051-242-3930,2018-08-31,사단법인,부산광역시 서구장애인협회
부산광역시 동구,동구장애인주간보호센터,이혜숙,부산광역시 동구 안창로 57,35.14562834,129.0424303,12,051-633-3367,2006-02-08,재단법인,한결재단
부산광역시 동구,큰빛장애인주간보호센터,유지연,부산광역시 동구 초량중로 27,35.11453261,129.0368886,10,051-464-3909,2004-10-05,사회복지법인,큰빛
부산광역시 동구,동백복지주간보호센터,최용진,부산광역시 동구 중앙대로 236번길 13-5,35.11798704,129.0429443,20,051-466-7706,2010-12-29,사회복지법인,동백
부산광역시 동구,부산시각장애인주간보호센터,한지혜,부산광역시 동구 중앙대로 320번길 4,35.12466335,129.0453883,12,051-462-3292,2008-04-27,사단법인,한국시각장애인연합회 부산광역시지부
부산광역시 동구,행복한 장애인주간보호센터,이재영,부산광역시 동구 망양로 748,35.13091679,129.0404211,12,051-469-9756,2009-09-01,사회복지법인,행복한오늘
부산광역시 동구,동림 장애인 주간보호센터,박주현,"부산광역시 동구 중앙대로 509-1, 5층",35.13877539,129.0562131,20,051-469-1255,2013-10-15,사단법인,동림복지회
부산광역시 영도구,어울림장애인주간보호센터,서보경,부산광역시 영도구 함지로79번길 76,35.07600143,129.0655229,12,051-403-4200,2000-08-02,사회복지법인,남광사회복지회
부산광역시 영도구,해냄장애인주간보호센터,선병권,부산광역시 영도구 산정길 138,35.08121547,129.0475086,18,051-413-4661,2003-05-20,학교법인,대한예수교장로회총회 고려학원
부산광역시 영도구,상리장애인주간보호센터,김영신,부산광역시 영도구 상리로 63-16,35.08616799,129.0707765,15,051-404-5797,2003-03-17,사회복지법인,한국재활재단
부산광역시 영도구,임마누엘장애인주간보호센터,양순석,"부산광역시 영도구 절영로 490번길 55, 한창주택 106호",35.07009821,129.0725618,10,070-7206-4377,2011-10-27,사회복지법인,렘넌트
부산광역시 영도구,영도장애인복지관 장애인주간보호센터,박기영,부산광역시 영도구 함지로 79번길 6,35.07526852,129.0668621,12,051-403-6418,2017-10-30,학교법인,대한예수교장로회총회 고려학원
부산광역시 부산진구,참사랑장애인주간보호센타,우정순,"부산광역시 부산진구 가야대로 454번길 16, 2층",35.15237684,129.0216418,15,051-892-2005,2003-01-13,사단법인,부산장애인부모회
부산광역시 부산진구,나래울장애인주간보호센타,이현옥,부산광역시 부산진구 복지로 117-12,35.14260918,129.0201588,20,051-893-0035,2003-09-03,사회복지법인,YWCA복지사업단
부산광역시 부산진구,개금장애인주간보호센터,류강렬,부산광역시 부산진구 백양관문로77번길 140,35.16412973,129.0249942,15,051-893-5034,2004-12-06,사회복지법인,불국토
부산광역시 부산진구,부산데프장애인주간보호센터,백은아,"부산광역시 부산진구 새싹로52번길 39, 5층",35.16237717,129.0579016,20,051-819-7715,2014-01-10,사단법인,한국농아인협회 부산광역시협회
부산광역시 부산진구,이레주간보호센터,이슬기,"부산광역시 부산진구 시민공원로19번길 32-8, 실로빌딩 101호",35.16452905,129.0519801,16,051-819-7784,2019-03-28,사단법인,소망재활센터
부산광역시 동래구,징검다리주간보호센터,하소연,부산광역시 동래구 시실로107번길 151,35.21122134,129.0985687,21,051-529-2430,2000-12-28,사회복지법인,양덕사회문화원
부산광역시 동래구,다솜주간보호센터,이은아,"부산광역시 동래구 시실로167번길 64, 2층",35.21123367,129.0991949,21,051-528-5024,2002-03-30,사단법인,부산지적발달장애인복지협회
부산광역시 동래구,사직장애인주간보호센터,황승호,"부산광역시 동래구 사직북로63번길 20-7, 사직종합사회복지관 3층",35.19909602,129.0573019,18,051-506-3418,2004-10-11,학교법인,박영학원
부산광역시 동래구,늘사랑장애인주간보호센터,여동훈,부산광역시 동래구 충렬대로 386,35.19703517,129.1003760,12,051-522-1650,2011-10-26,재단법인,한결재단
부산광역시 남구,아띠 장애인주간보호센터,박승호,부산광역시 남구 석포로 127번길 97,35.12743321,129.0900569,20,051-625-9308,2004-08-17,사단법인,아띠
부산광역시 남구,나사함 주간보호센터,김유라,"부산광역시 남구 못골번영로 70, 나사함발달장애인복지관 3층",35.14133258,129.0890682,15,051-623-8522,2005-08-01,사회복지법인,나사함복지재단
