"대상시설별","매개시설 대상시설수 (개소)","매개시설 대상설치수 (개소)","매개시설 대상편의시설수 (개소)","매개시설 대상설치율 (%)","매개시설 적정설치수 (개소)","매개시설 적정설치율 (%)","내부시설 대상시설수 (개소)","내부시설 대상설치수 (개소)","내부시설 대상편의시설수 (개소)","내부시설 대상설치율 (%)","내부시설 적정설치수 (개소)","내부시설 적정설치율 (%)","위생시설 대상시설수 (개소)","위생시설 대상설치수 (개소)","위생시설 대상편의시설수 (개소)","위생시설 대상설치율 (%)","위생시설 적정설치수 (개소)","위생시설 적정설치율 (%)","안내시설 대상시설수 (개소)","안내시설 대상설치수 (개소)","안내시설 대상편의시설수 (개소)","안내시설 대상설치율 (%)","안내시설 적정설치수 (개소)","안내시설 적정설치율 (%)","기타시설 대상시설수 (개소)","기타시설 대상설치수 (개소)","기타시설 대상편의시설수 (개소)","기타시설 대상설치율 (%)","기타시설 적정설치수 (개소)","기타시설 적정설치율 (%)","비치용품 대상시설수 (개소)","비치용품 대상설치수 (개소)","비치용품 대상편의시설수 (개소)","비치용품 대상설치율 (%)","비치용품 적정설치수 (개소)","비치용품 적정설치율 (%)"
"1종 근린생활시설 슈퍼마켓, 일용품 등의 소매점","16041","286250","234185","81.8","227755","79.6","15997","178780","139179","77.8","130509","73","","","","","","","","","","","","","","","","","","","","","","","",""
"1종 근린생활시설 이용원·미용원·일반목욕장","944","16803","12251","72.9","11651","69.3","942","10744","8319","77.4","7669","71.4","","","","","","","","","","","","","","","","","","","","","","","",""
"1종 근린생활시설 지역자치센터","2746","57911","50785","87.7","46380","80.1","2744","64691","56672","87.6","51985","80.4","2737","41844","31697","75.8","26919","64.3","2740","11825","8670","73.3","7722","65.3","2345","9378","8630","92","7772","82.9","2683","10705","6206","58","6206","58"
"1종 근린생활시설 파출소, 지구대","2425","45273","35947","79.4","32027","70.7","2419","40472","33215","82.1","29325","72.5","2407","31220","17625","56.5","14524","46.5","2403","9757","4990","51.1","4255","43.6","1824","7291","5409","74.2","4807","65.9","","","","","",""
"1종 근린생활시설 우체국","2076","38607","31586","81.8","27939","72.4","2071","33860","28877","85.3","25781","76.1","2054","26710","14762","55.3","11627","43.5","2065","7518","4257","56.6","3524","46.9","1949","7789","6974","89.5","6370","81.8","2045","6129","4304","70.2","4304","70.2"
"1종 근린생활시설 보건소","2222","42316","35085","82.9","31183","73.7","2219","37085","31507","85","28432","76.7","2214","32331","21715","67.2","17968","55.6","2209","9217","4023","43.6","3273","35.5","1438","5749","4465","77.7","3955","68.8","","","","","",""
"1종 근린생활시설 공공도서관","299","6206","5433","87.5","5116","82.4","299","8043","7148","88.9","6628","82.4","296","4714","3812","80.9","3430","72.8","299","1255","962","76.7","858","68.4","243","972","804","82.7","735","75.6","285","285","75","26.3","75","26.3"
"1종 근린생활시설 국민건강보험공단 및 지사","75","1595","1391","87.2","1285","80.6","75","2034","1747","85.9","1618","79.5","73","1064","824","77.4","748","70.3","75","330","238","72.1","216","65.5","62","248","225","90.7","206","83.1","","","","","",""
"1종 근린생활시설 국민연금공단 및 지사","24","567","501","88.4","486","85.7","24","753","675","89.6","641","85.1","23","359","317","88.3","302","84.1","24","108","90","83.3","79","73.1","22","88","84","95.5","83","94.3","","","","","",""
"1종 근린생활시설 한국장애인고용공단 및 지사","7","159","126","79.2","120","75.5","7","219","184","84","174","79.5","7","112","91","81.2","87","77.7","7","29","20","69","18","62.1","5","20","20","100","19","95","","","","","",""
"1종 근린생활시설 근로복지공단 및 지사","22","486","444","91.4","415","85.4","22","615","550","89.4","508","82.6","22","334","254","76","224","67.1","22","101","70","69.3","65","64.4","17","68","66","97.1","59","86.8","","","","","",""
"1종 근린생활시설 대피소","565","10110","6889","68.1","6278","62.1","550","6286","4648","73.9","4057","645","","","","","","","","","","","","","","","","","","","","","","","",""
"1종 근린생활시설 공중화장실","1985","35138","29214","83.1","27510","78.3","1942","21655","17357","80.2","15886","73.4","1979","42788","33520","78.3","30195","80.6","1200","3596","1699","47.2","1553","43.2","","","","","","","","","","","",""
"1종 근린생활시설 의원·치과의원·한의원·조산소(산후조리원포함)","4005","85508","73855","86.4","71258","83.3","3993","118956","100902","84.8","94314","79.3","3909","53225","37488","70.4","35023","65.8","","","","","","","","","","","","","","","","","",""
"1종 근린생활시설 지역아동센터","213","3962","2611","65.9","2460","62.1","212","2471","1760","71.2","1422","57.5","","","","","","","209","418","238","56.9","157","37.6","","","","","","","","","","","",""
"2종 근린생활시설 일반음식점","12171","238914","176372","73.8","168753","70.6","12080","134920","104286","77.3","97356","72.2","","","","","","","","","","","","","","","","","","","","","","","",""
"2종 근린생활시설 휴게음식점, 제과점","1524","29924","23669","79.1","22844","76.3","1509","16432","13394","81.5","12615","76.8","","","","","","","","","","","","","","","","","","","","","","","",""
"2종 근린생활시설 안마시술소","65","1271","859","67.6","819","64.4","65","735","548","74.6","489","66.5","","","","","","","64","128","108","84.4","84","65.6","","","","","","","","","","","",""
"문화 및 집회시설 공연장(극장·영화관·연예장·음악당·서커스장)","613","14141","12970","91.7","12432","87.9","612","18649","16487","88.4","15551","83.4","611","13959","12198","87.4","11469","82.2","611","5625","3531","62.8","3318","59","562","4516","3677","81.4","3321","73.5","583","583","147","25.2","147","25.2"
"문화 및 집회시설 관람장(경마장·자동차경주장)","71","1643","1541","93.8","1461","88.9","71","2021","1838","90.9","1745","86.3","70","1647","1499","91","1415","85.9","71","700","475","67.9","453","64.7","63","453","382","84.3","344","75.9","66","66","15","22.7","15","22.7"
"문화 및 집회시설 집회장(예식장·공회장·회의장)","404","9112","7539","82.7","6953","76.3","401","11664","9774","83.8","9205","78.9","395","5796","4282","73.9","3887","67.1","395","790","691","87.5","630","79.7","","","","","","","","","","","",""
"문화 및 집회시설 전시장(박물관·미술관·과학관·기념관·산업전시장·박람회장)","959","21246","18379","86.5","17066","80.3","955","25217","22006","87.3","20585","81.6","941","15134","12459","82.3","11302","74.7","952","4247","3101","73","2781","65.5","","","","","","","","","","","",""
"문화 및 집회시설 동식물원","54","1185","1019","86","955","80.6","53","1227","1049","85.5","974","79.4","52","821","646","78.7","577","70.3","54","235","146","62.1","129","54.9","","","","","","","","","","","",""
