연번,제공기관명,주소,기관 전화번호,팩스번호,위도,경도
1,강서구지역자활센터,부산광역시 강서구 공항로811번가길  30 (대저2동),051-973-6598,051-973-6997,35.17870519,128.9567909
2,가람장애인자립생활센터,부산광역시 강서구 대저로255번길 29 (대저1동),051-971-5933,051-831-5933,35.21506496,128.9807339
3,금정구장애인복지관,부산광역시 금정구 서부로 77 (서동),051-523-0100,051-523-0024,35.21955549,129.0989667
4,금정장애인자립생활센터,"부산광역시 금정구 중앙대로 1675, 2층 (부곡동, 우신빌딩)",051-582-3334,051-582-3234,35.23403694,129.0914171
5,금정구지역자활센터,부산광역시 금정구 중앙대로 2049 (남산동),051-508-2163,051-508-2123,35.26726119,129.0924676
6,기장장애인자립생활센터,"부산광역시 기장군 기장읍 기장대로 482, 3층",051-724-0332,051-724-0325,35.23809450,129.2195195
7,(사)부산장애인부모회 기장지회,"부산광역시 기장군 장안읍 장곡길 173, 2층",051-727-0147,051-723-2005,35.30882079,129.2437169
8,기장장애인복지관,부산광역시 기장군 정관면 병산로  42-15,051-727-3088,051-727-3090,35.33642884,129.1735108
9,(사)부산뇌병변장애인인권협회,"부산광역시 남구 수영로  243 (대연동,한울빌딩 5층)",051-627-0308,051-627-0314,35.13535543,129.0931691
10,(사)부산광역시장애인복지연합회 남구지회,"부산광역시 남구 수영로 12, 상가동 205호 (문현동, 세종그랑시아아파트)",051-633-6807,051-635-6807,35.13619217,129.0691277
11,(사)부산광역시남구장애인협회,"부산광역시 남구 유엔평화로 45, 3층 (대연동)",051-622-2656,051-625-2657,35.13085525,129.0924176
12,동구장애인복지관,부산광역시 동구 망양로  748 (수정동),051-469-9759,051-466-0022,35.13091679,129.0404211
13,간호박사종합재가센터,부산광역시 동구 수정중로 28 (수정동),051-463-3300,051-462-9008,35.13064531,129.0447298
14,동림장애인활동지원기관,"부산광역시 동구 중앙대로 509-1, 5층 (범일동)",051-634-1255,051-467-1255,35.13877539,129.0562131
15,희망샘 장애인활동지원센터,"부산광역시 동구 중앙대로196번길 12-3, 10층 (초량동)",051-988-0288,051-988-0279,35.11392293,129.0407094
16,부산시각장애인복지연합회,부산광역시 동구 중앙대로320번길 4 (초량동),051-714-3298,051-466-3292,35.12466335,129.0453883
17,빛과소금복지재단,부산광역시 동구 초량동 1005-3,051-466-3281,051-466-5335,35.11678239,129.0373230
18,사회복지법인큰빛,부산광역시 동구 초량중로 27 (초량동),051-464-3909,051-466-3320,35.11453261,129.0368886
19,온사랑장애인활동지원센터,"부산광역시 동래구 미남로146번길 12, 5층 503호 (온천동, 우영빌딩)",051-554-1177,051-552-1991,35.20642941,129.0710592
20,(사)부산광역시장애인복지연합회,"부산광역시 동래구 안남로 23, 303호 (낙민동, 보림프라자)",051-531-2344,,35.19464285,129.0948203
21,청목장애인활동지원센터,"부산광역시 동래구 충렬대로 239, 502호 (수안동, 수안메디컬)",051-558-1300,051-558-1311,35.20163927,129.0856348
22,동래구장애인자립생활센터,"부산광역시 동래구 충렬대로 314, 제상가동 1층 (낙민동, 동래한양아파트)",051-558-0717,051-558-0737,35.19844837,129.0916430
23,(사)부산광역시동래구장애인협회,부산광역시 동래구 충렬대로 509 (안락동),051-525-0107,051-525-0108,35.19475892,129.1136978
24,척수장애인자립생활센터,"부산광역시 동래구 충렬대로137번길 4, 3층 (온천동, 상현빌딩)",051-529-9889,051-529-9888,35.20563895,129.0758261
25,부산지적발달장애인복지협회 부산진구지부,"부산광역시 부산진구 가야대로 701, 203호 (당감동, 힐탑스타)",051-914-1551,051-914-1552,35.15724199,129.0482641
26,삶장애인자립생활센터,"부산광역시 부산진구 동평로405번길 97, 3층 (양정동)",051-818-3435,051-631-3436,35.17771927,129.0721860
27,행복한노인복지요양센터,부산광역시 부산진구 봉수로 23 (전포동),051-502-8833,051-803-8291,35.15087251,129.0705272
28,사회복지법인 주는사랑복지재단,"부산광역시 부산진구 새싹로 30, 206호 (부전동, 경동파크타워)",051-805-0003,051-895-8050,35.16060691,129.0572749
29,부산진장애인자립생활센터,"부산광역시 부산진구 서면문화로 27, 1210호 (부전동, 유원골든타워)",051-900-6670,051-803-6678,35.15943167,129.0556023
30,부산진구장애인협회,"부산광역시 부산진구 전포대로255번길 15, 1층 (전포동)",051-898-0041,051-805-0040,35.15930901,129.0644584
31,(사)한국복지교육원,"부산광역시 부산진구 중앙대로 668, 1108호 (부전동, 에이원플라자)",,,35.15241999,129.0595943
32,(법인)청목장애인활동지원 부산진구센터,"부산광역시 부산진구 중앙대로 993, 1420호 (양정동, 시청역롯데골드로즈)",051-558-1377,051-558-1388,35.17801310,129.0746271
33,(사)부산광역시신체장애인복지회 북구지부,부산광역시 북구 금곡대로616번길  116 (금곡동),051-365-1441,051-364-0989,35.26570039,129.0172614
34,북구장애인종합복지관,"부산광역시 북구 금곡대로616번길  145 (금곡동, 북구장애인종합복지관)",051-362-7755,051-363-4477,35.26712211,129.0175540
35,(사)북구장애인협회활동지원기관,부산광역시 북구 만덕대로65번길 79 (덕천동),051-337-0234,051-342-6872,35.21516253,129.0104788
36,부산뇌병변복지관,부산광역시 북구 학사로 246 (금곡동),051-333-3888,051-333-0297,35.24445208,129.0100624
37,부산장애인자립생활센터,"부산광역시 북구 화명신도시로 117, 801호 (화명동, 메트로프라자)",051-338-2287,051-361-2247,35.23466847,129.0104903
38,(사)부산광역시사상구장애인협회,"부산광역시 사상구 모라로192번길 2, 3층 (모라동, 사상구장애인근로작업장)",051-303-5552,051-302-5181,35.18542862,129.0003602
39,좋은세상장애인복지센터,부산광역시 사상구 백양대로907번가길 64 (모라동),051-311-0169,051-311-0170,35.19028066,128.9912951
40,로뎀활동지원센터,부산광역시 사상구 백양대로979번길 49 (모라동),051-322-1131,051-323-1134,35.19342070,128.9909051
41,가람복지센터,"부산광역시 사상구 사상로 123, 4층 (감전동, 호승빌딩 4층)",051-312-7575,051-312-7571,35.15737098,128.9890512
42,사상구장애인자립생활센터,"부산광역시 사상구 사상로 524, 901호 (모라동)",051-312-5559,070-8260-5559,35.19093407,128.9896560
