공간정보일련번호,관리번호,종류,등급,명칭,상태,도엽명,계획기관,표지상황,위치,위치_비고,측량연도,고시일자,고시번호,기준타원체,종축(x)좌표,횡축(y)좌표,정표고(h),직각좌표계원점
70,20368,공공기준점,4급,CG30,양호,부산,(주)부산도시가스,동판,부산광역시 부산진구,성산포식당 입구 보도경계석 앞에 위치(새주소 : 백양순환로 147),2014,2015-05-29,2015-1033,GRS80,285675.157,203758.917,50.188,동부
71,20369,공공기준점,4급,CG31,양호,부산,(주)부산도시가스,동판,부산광역시 부산진구,골목입구 전주 옆에 위치(새주소 : 백양대로 78번길),2014,2015-05-29,2015-1033,GRS80,285090.065,203741.179,32.887,동부
72,20370,공공기준점,4급,CG32,양호,부산,(주)부산도시가스,동판,부산광역시 부산진구,SK주유소 입구 보도경계석 코너 앞에 위치(새주소 : 백양대로 78번길),2014,2015-05-29,2015-1033,GRS80,285068.547,203750.158,32.18,동부
73,20371,공공기준점,4급,CG33,양호,부산,(주)부산도시가스,동판,부산광역시 부산진구,도로중앙 화단경계석 코너에 위치(새주소 : 가야대로 703번길 입구),2014,2015-05-29,2015-1033,GRS80,284758.807,204444.88,14.775,동부
74,20372,공공기준점,4급,CG34,양호,부산,(주)부산도시가스,동판,부산광역시 부산진구,장터식당 입구 코너에 위치(새주소 : 가양대로 703번길 11),2014,2015-05-29,2015-1033,GRS80,284591.622,204394.751,12.857,동부
75,20373,공공기준점,4급,BG17,양호,부산,(주)부산도시가스,동판,부산광역시 북구,축복교회 주차장 입구 보도경계석 위에 위치(새주소 : 산성로),2014,2015-05-29,2015-1033,GRS80,293908.299,201804.449,18.564,동부
76,20374,공공기준점,4급,BG18,양호,부산,(주)부산도시가스,동판,부산광역시 북구,청산숯불구이 식당 주차장 입구 보도경계석 앞에 위치 (새주소 : 산성로 55),2014,2015-05-29,2015-1033,GRS80,293864.38,201753.113,13.508,동부
77,20375,공공기준점,4급,BG19,양호,부산,(주)부산도시가스,동판,부산광역시 북구,대승종합철물 앞 횡단보도 끝에 위치(새주소 : 금곡대로),2014,2015-05-29,2015-1033,GRS80,291445.264,200648.894,9.808,동부
78,20376,공공기준점,4급,BG20,양호,부산,(주)부산도시가스,동판,부산광역시 북구,보승빌딩 입구 도로중앙 교통섬 코너에 위치(새주소 : 금곡대로),2014,2015-05-29,2015-1033,GRS80,291556.63,200740.171,15.749,동부
79,20377,공공기준점,4급,BG21,양호,부산,(주)부산도시가스,동판,부산광역시 북구,도로중앙 화단 앞에 위치(새주소 : 낙동대로 1739번길),2014,2015-05-29,2015-1033,GRS80,290319.808,199972.649,4.25,동부
80,20378,공공기준점,4급,BG22,양호,부산,(주)부산도시가스,동판,부산광역시 북구,동원로약듀크 아파트 입구 삼거리 차량신호등 아래위치 (새주소 : 낙동대로 1739번길),2014,2015-05-29,2015-1033,GRS80,290293.947,199929.416,4.227,동부
81,20379,공공기준점,4급,SS13,양호,김해,(주)부산도시가스,동판,부산광역시 사상구,도로경계석 모서리에 위치(새주소 : 사상로 520길),2014,2015-05-29,2015-1033,GRS80,288239.583,199060.983,6.906,동부
82,20380,공공기준점,4급,SS14,양호,김해,(주)부산도시가스,동판,부산광역시 사상구,훈바이크 입구 횡단보도 끝 지점 경계석 앞에 위치 (새주소 : 사상로 520길),2014,2015-05-29,2015-1033,GRS80,288245.038,199020.143,5.228,동부
83,20381,공공기준점,4급,SS15,양호,김해,(주)부산도시가스,동판,부산광역시 사상구,오비맥주 입구 사거리 코너 주차라인 끝지점에 위치  (새주소 : 새벽시장로),2014,2015-05-29,2015-1033,GRS80,284228.072,198638.353,2.159,동부
84,20382,공공기준점,4급,SS16,양호,김해,(주)부산도시가스,동판,부산광역시 사상구,고려스텐레스 맞은편 전주 앞 주차라인 위에 위치 (새주소 : 새벽시장로 103번길),2014,2015-05-29,2015-1033,GRS80,284261.675,198645.427,1.804,동부
85,20383,공공기준점,4급,SH15,양호,김해,(주)부산도시가스,동판,부산광역시 사하구,터널 나이트 클럽 입구 도로중앙 체신맨홀 앞에 위치(새주소 : 사하로),2014,2015-05-29,2015-1033,GRS80,277998.525,199433.576,40.806,동부
86,20384,공공기준점,4급,SH16,양호,김해,(주)부산도시가스,동판,부산광역시 사하구,사하성당 입구 횡단보도 끝지점 보도경계석 코너에 위치(새주소 : 사하로),2014,2015-05-29,2015-1033,GRS80,277884.972,199461.229,40.093,동부
87,20385,공공기준점,4급,SH17,양호,김해,(주)부산도시가스,동판,부산광역시 사하구,㈜Y2산업 입구 전주에서 2M지점 앞에 위치(새주소 : 하신중앙로 17번길),2014,2015-05-29,2015-1033,GRS80,276070.927,196450.255,4.118,동부
88,20386,공공기준점,4급,SH18,양호,김해,(주)부산도시가스,동판,부산광역시 사하구,준성테크공장 입구 도로중앙에 위치(새주소 : 하신중아로 17번길 31),2014,2015-05-29,2015-1033,GRS80,276034.795,196463.02,2.691,동부
89,20387,공공기준점,4급,SH19,양호,김해,(주)부산도시가스,동판,부산광역시 사하구,다대중학교 후문 입구 코너에 위치(새주소 : 다대로 554번길),2014,2015-05-29,2015-1033,GRS80,273515.075,197149.992,34.489,동부
90,20388,공공기준점,4급,SH20,양호,김해,(주)부산도시가스,동판,부산광역시 사하구,다대중학교 입구 전주 앞에 위치(새주소 : 다대로 554번길 33),2014,2015-05-29,2015-1033,GRS80,273487.012,197170.272,29.952,동부
91,20389,공공기준점,4급,SG09,양호,부산,(주)부산도시가스,동판,부산광역시 서구,남성한빛아파트 입구 커피자판기 앞 2차선 중앙에 위치(새주소 : 꽃마을로 45),2014,2015-05-29,2015-1033,GRS80,280188.885,201095.903,75.553,동부
92,20390,공공기준점,4급,SG10,양호,부산,(주)부산도시가스,동판,부산광역시 서구,경성전자정보고 입구 도로중앙 충격흡수대 앞안전지대 내에 위치(새주소 : 꽃마을로),2014,2015-05-29,2015-1033,GRS80,280009.33,201173.196,60.488,동부
93,20391,공공기준점,4급,SG11,양호,부산,(주)부산도시가스,동판,부산광역시 서구,경남상업고 입구 횡단보도 중간지점에 위치(새주소 : 망양로),2014,2015-05-29,2015-1033,GRS80,279704.612,201257.593,50.332,동부
94,20392,공공기준점,4급,SG12,양호,부산,(주)부산도시가스,동판,부산광역시 서구,청죽일식전문 주차장 입구 횡단보도 끝지점에 위치(새주소 : 망양로),2014,2015-05-29,2015-1033,GRS80,279597.417,201206.302,48.18,동부
95,20393,공공기준점,4급,SG13,양호,부산,(주)부산도시가스,동판,부산광역시 서구,동대사거리 교통섬 코너 안전지대 중앙에 위치,2014,2015-05-29,2015-1033,GRS80,279438.184,201959.68,29.864,동부
96,20394,공공기준점,4급,SG14,양호,부산,(주)부산도시가스,동판,부산광역시 서구,동대사거리 에쓰오일 주유소 입구 교통섬 코너 안전지대 중앙에 위치,2014,2015-05-29,2015-1033,GRS80,279454.993,201946.876,30.315,동부
97,20395,공공기준점,4급,YJ19,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,도로사거리 전주 맞은편 맨홀 옆에 위치(새주소 : 아시아드대로 108번길),2014,2015-05-29,2015-1033,GRS80,288712.914,206353.562,7.638,동부
98,20396,공공기준점,4급,YJ20,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,승원유치원 출입문 맞은편 맨홀 옆에 위치(새주소 : 아시아드대로 108번길),2014,2015-05-29,2015-1033,GRS80,288735.192,206464.36,7.546,동부
99,20397,공공기준점,4급,YJ21,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,부산은행입구 횡단보도 중앙지점 라인위에 위치(새주소 : 중앙대로),2014,2015-05-29,2015-1033,GRS80,287260.16,207139.381,11.955,동부
100,20398,공공기준점,4급,YJ22,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,부산은행 마을버스정류장(연우경로당) 입구 보도경계석 앞에 위치(새주소 : 중앙천로),2014,2015-05-29,2015-1033,GRS80,287229.949,207180.216,12.655,동부
101,20399,공공기준점,4급,YJ23,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,도로사거리 코너지점 맨홀 옆에 위치(새주소 : 연수로 87번길 42),2014,2015-05-29,2015-1033,GRS80,286778.632,207365.909,29.222,동부
102,20400,공공기준점,4급,YJ24,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,E마트 입구 코너 주차라인 앞에 위치(새주소 : 중앙천로 19번길 50),2014,2015-05-29,2015-1033,GRS80,286712.159,207356.912,34.955,동부
103,20401,공공기준점,4급,YJ25,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,삼우종합건설 입구 보도경계석 코너에 위치(새주소 : 과정로 343),2014,2015-05-29,2015-1033,GRS80,288231.532,208233.788,10.714,동부
104,20402,공공기준점,4급,YJ26,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,연산1동 주민센터 입구 삼거리 횡단보도 끝지점 보도경계석  앞에 위치(새주소 : 과정로 343번길),2014,2015-05-29,2015-1033,GRS80,288193.501,208161.238,15.478,동부
105,20403,공공기준점,4급,YJ27,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,팥빙수 전문점 입구 보도경계석 위에 위치(새주소 : 연동로 17),2014,2015-05-29,2015-1033,GRS80,287906.601,208494.39,14.719,동부
106,20404,공공기준점,4급,YJ28,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,횡단보도 끝에 위치(새주소 : 고분로),2014,2015-05-29,2015-1033,GRS80,287730.714,208490.67,25.126,동부
107,20405,공공기준점,4급,YJ29,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,연제로교회 출입구 보도경계석 앞에 위치(새주소 : 고분로 224),2014,2015-05-29,2015-1033,GRS80,287561.969,209718.576,15.829,동부
108,20406,공공기준점,4급,YJ30,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,수영강푸르지오 아파트 버스정류장 입구 보도경계석코너 시점에 위치(새주소 : 고분로 270),2014,2015-05-29,2015-1033,GRS80,287576.071,210132.411,25.343,동부
109,20407,공공기준점,4급,YJ31,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,양지맨션 입구 사거리 코너에 위치(새주소 : 배산북로 14),2014,2015-05-29,2015-1033,GRS80,286564.015,208490.715,48.31,동부
110,20408,공공기준점,4급,YJ32,양호,부산,(주)부산도시가스,동판,부산광역시 연제구,럭키슈퍼 입구 전주 앞에 위치(새주소 : 쌍미천로 16번길 23),2014,2015-05-29,2015-1033,GRS80,286606.045,208434.208,51.624,동부
111,20409,공공기준점,4급,YD11,양호,부산,(주)부산도시가스,동판,부산광역시 영도구,대교사거리 교통섬 코너 안전지대에 위치(새주소 : 절영로),2014,2015-05-29,2015-1033,GRS80,277305.997,203618.974,3.264,동부
112,20410,공공기준점,4급,YD12,양호,부산,(주)부산도시가스,동판,부산광역시 영도구,금용주차장 입구 횡단보도 끝라인에 위치(새주소 : 절영로 35번길),2014,2015-05-29,2015-1033,GRS80,277222.708,203582.018,3.434,동부
113,20411,공공기준점,4급,KS05,양호,김해,(주)부산도시가스,동판,부산광역시 강서구,지사휴먼시아 아파트 입구 중앙지점에 위치(새주소 : 과학산단2로 20번길),2015,2015-05-29,2015-1033,GRS80,283831.17,184920.125,22.33,동부
114,20412,공공기준점,4급,KS06,양호,김해,(주)부산도시가스,동판,부산광역시 강서구,녹산유치원 입구 사거리 중앙지점에 위치(새주소 : 과학산단로 306번길),2015,2015-05-29,2015-1033,GRS80,283820.959,185063.495,20.819,동부
115,20413,공공기준점,4급,KS07,양호,김해,(주)부산도시가스,동판,부산광역시 강서구,경동종합철강㈜ 입구 사거리 중앙지점 한전맨홀 옆에 위치  (새주소 : 미음산단4로),2015,2015-05-29,2015-1033,GRS80,284881.426,187212.893,16.635,동부
