지형지물부호,명칭,생성일자
AF002,철도중심선,2000-02-08
AF999,기타,2000-02-08
AG001,철도용지경계,2000-02-08
AG050,철도옹벽,2000-02-08
AG060,철도하수,2000-02-08
AG070,철도울타리,2000-02-08
AG081,철도승강장(홈),2000-02-08
AG100,철도신호기,2000-02-08
AG110,철도전철주(전신주),2000-02-08
AG120,철도연장표,2000-02-08
AG121,철도KM표,2000-02-08
AG122,철도M표,2000-02-08
AG999,기타,2000-02-08
AA200,문주,2000-02-08
AA201,굴뚝,2000-02-08
AE340,암거,2000-02-08
BC004,등대,2000-02-08
DA002,밭기호,2000-02-08
DA003,과수원기호,2000-02-08
AE021,터널입구,2000-02-08
AE050,지하도,2000-02-08
AE134,CCTV,2000-02-08
AE135,검지기,2000-02-08
AE150,측구,2000-02-08
AE999,기타,2000-02-08
AF001,철도,2000-02-08
AZ936,가판대,2000-02-10
AC050,하수종말처리장기호,2000-02-11
AC051,공단폐수처리장기호,2000-02-11
AC052,축산폐수처리장기호,2000-02-11
AC053,농공단지오폐수처리장기호,2000-02-11
AC054,간이오수처리장기호,2000-02-11
AC055,분뇨처리장기호,2000-02-11
SB911,측구뚜껑,2000-02-22
AD031,굴착관로,2000-05-17
UA018,도로구역,2000-05-17
NA014,기초구간,2000-05-17
NA013,단위구간,2000-05-17
NA001,(도로명새주소)건물,2000-05-17
NA002,(도로명새주소)건물군,2000-05-17
NA016,(도로명새주소)도로명판,2000-05-17
NA011,(도로명새주소)도로중심선,2000-05-17
NA015,(도로명새주소)실폭도로,2000-05-17
NA003,(도로명새주소)주출입구,2000-05-17
ZA001,삼각점,2000-05-17
ZA002,수준점,2000-05-17
ZA010,수평기준점,2000-05-17
ZA011,수직기준점,2000-05-17
ZA020,표정점,2000-05-17
ZD100,1000도곽,2000-05-17
ZD200,5000도곽,2000-05-17
ZD300,10000도곽,2000-05-17
ZD400,50000도곽,2000-05-17
CA002,표고점,2000-05-17
CA001,등고선,2000-05-17
EA030,특별시계,2000-05-17
EA031,광역시계,2000-05-17
EA032,도계,2000-05-17
EA033,시계,2000-05-17
EA034,군계,2000-05-17
EA035,구계,2000-05-17
EA036,읍계,2000-05-17
EA037,동계,2000-05-17
EA038,면계,2000-05-17
EA100,행정동동경계,2000-05-17
EA101,법정동동경계,2000-05-17
AA001,건물,2000-05-17
AA002,기호건물,2000-05-17
AB100,놀이시설,2000-05-17
AA100,담장,2000-05-17
AI001,우물,2000-05-17
AJ001,관정,2000-05-17
AZ020,조명탑/광고탑,2000-05-17
AF010,삭도,2000-05-17
AF020,궤도,2000-05-17
AG010,철도교량,2000-05-17
AG020,철도터널,2000-05-17
AG030,철도건널목,2000-05-17
AG041,가도교,2000-05-17
AG042,과선도로교,2000-05-17
AG043,철도지하도,2000-05-17
AG044,인도육교,2000-05-17
AG045,입체통로,2000-05-17
AG080,철도정거장,2000-05-17
AG090,철도건물,2000-05-17
AE230,주차장경계,2000-05-17
AE031,입체교차로중심,2000-05-17
AE041,고가도로중심선,2000-05-17
AE051,지하도중심선,2000-05-17
AD002,도로중심선,2000-05-17
AD001,차도,2000-05-17
AD900,보차도경계석,2000-05-17
AD010,도로중심선교점,2000-05-17
AE100,육교,2000-05-17
AE010,교량,2000-05-17
AE020,터널,2000-05-17
AE040,고가도로,2000-05-17
AZ080,석축,2000-05-17
AZ085,옹벽,2000-05-17
AE220,방지책,2000-05-17
AE221,가드레일,2000-05-17
AE222,가드펜스,2000-05-17
AZ090,경사보호망,2000-05-17
AZ040,맨홀,2000-05-17
AE131,가로등,2000-05-17
AE991,가로등선로,2000-05-17
AE133,배전함,2000-05-17
AE110,중앙분리대,2000-05-17
AE315,조경화단,2000-05-17
AE121,교통섬,2000-05-17
AE160,가로수,2000-05-17
AE002,자전거도로,2000-05-17
AE140,계단,2000-05-17
AE001,보도,2000-05-17
AE210,표지판,2000-05-17
AE992,제한높이시설,2000-05-17
AD910,교차로,2000-05-17
AE030,입체교차로,2000-05-17
AE993,입체공간,2000-05-17
AF030,철도교차,2000-05-17
AZ992,자전거보관소,2000-05-17
AI010,보안등,2000-05-17
SA960,전오존터어빈,2000-05-17
SA964,콘베어,2000-05-17
SA966,변압기,2000-05-17
SA969,선로개폐기,2000-05-17
SA973,수위계,2000-05-17
SA977,케익호퍼,2000-05-17
SA979,약품투입기,2000-05-17
AZ900,포장,2000-05-17
AE260,정류장,2000-05-17
AE305,공중전화박스,2000-05-17
AE310,게시판,2000-05-17
AD020,도로원표,2000-05-17
AE132,신호등,2000-05-17
AE200,도로반사경,2000-05-17
AE325,시계탑,2000-05-17
AE335,벤치,2000-05-17
BB001,제방,2000-05-17
AE120,횡단보도,2000-05-17
AE129,자전거횡단도,2000-05-17
AE123,미끄럼방지시설,2000-05-17
AE270,휴게소,2000-05-17
AE053,지하철입구,2000-05-17
AE240,주유소,2000-05-17
AZ920,공사계획,2000-05-17
AZ910,포장계획,2000-05-17
SB001,암거,2000-05-17
SB002,개거,2000-05-17
SB003,하수연결관,2000-05-17
SB004,측구,2000-05-17
SB005,시설계획관로,2000-05-17
SB006,하수관말,2000-05-17
SB100,역사이펀,2000-05-17
SB101,하수맨홀,2000-05-17
SB102,물받이,2000-05-17
SB103,우수토실,2000-05-17
SB104,토구,2000-05-17
SB200,하수처리사업소,2000-05-17
SB210,펌프장,2000-05-17
SB220,유수지,2000-05-17
SB300,처리구역,2000-05-17
SB301,처리분구,2000-05-17
SB310,배수구역,2000-05-17
SB311,배수분구,2000-05-17
SB312,배수예정구역경계,2000-05-17
SB313,배수설비,2000-05-17
SB000,미분류,2000-05-17
SB320,하수면적분할(배수면적),2000-05-17
SB330,분류식지역경계,2000-05-17
SB340,공사유지경계,2000-05-17
SB400,계측기,2000-05-17
SB410,환기구,2000-05-17
SB420,보수지점표시,2000-05-17
SB430,중계펌프,2000-05-17
SB440,기타,2000-05-17
SB900,면형하수암거,2000-05-17
SB901,불량구간,2000-05-17
SB902,하수폐관,2000-05-17
SB903,하수심도,2000-05-17
SB904,하수폐관심도,2000-05-17
SB905,집수정,2000-05-17
SB906,침사지,2000-05-17
SB907,하수처리장예정지역,2000-05-17
SB908,지하수,2000-05-17
SB909,침수피해지역,2000-05-17
SB910,공사구간,2000-05-17
SB912,복개하천,2000-05-17
UB100,도시계획구역계,2000-05-17
UB300,용도지구,2000-05-17
UB400,구역,2000-05-17
AE055,지하보도,2000-05-17
AE056,지하상가,2000-05-17
AE057,지하차도,2000-05-17
AE058,지하통로,2000-05-17
SB913,면형하수개거,2000-05-17
AE223,가드파이프,2000-05-17
AE994,사설안내표지판,2000-05-17
AZ905,긴급포장,2000-05-17
AE170,전주,2000-05-17
AE320,가판대,2000-05-17
AE130,차단기,2000-05-17
AE300,우체통,2000-05-17
AE330,분수,2000-05-17
BB050,선착장,2000-05-17
AE122,과속방지시설,2000-05-17
AE052,지하도입구,2000-05-17
AE250,세차장,2000-05-17
AZ930,실제공사,2000-05-17
UB200,용도지역,2000-05-17
AZ940,도로사면,2000-05-17
SD001,시내통신지하관로,2000-05-17
SD002,시외통신지하관로,2000-05-17
SC221,전기지중선 배전,2000-05-17
SC520,전기지중선 송전,2000-05-17
SG001,천연가스배관,2000-05-17
SG002,LPG배관,2000-05-17
SE001,난방관로 열배관,2000-05-17
SF001,송유관로,2000-05-17
SA001,상수관로,2000-05-17
SA119,소화전,2000-05-17
UF100,교통시설,2000-05-17
UF200,도시공간시설,2000-05-17
UF300,유통공급시설,2000-05-17
UF400,공공문화시설,2000-05-17
UF500,방재시설,2000-05-17
UF600,보건위생시설,2000-05-17
SA118,급수탑,2000-05-17
SA100,상수맨홀,2000-05-17
SA200,제수변,2000-05-17
SA202,이토변,2000-05-17
SA204,감압변,2000-05-17
SA205,안전변,2000-05-17
SA206,가압장,2000-05-17
SA401,급수지역경계,2000-05-17
SA904,불희망지역,2000-05-17
SA905,소규모급수시설지역,2000-05-17
SA908,노후관개량공사,2000-05-17
SA909,상수사업장공사,2000-05-17
SA912,심도측정지점,2000-05-17
SA120,저수조,2000-05-17
SA201,역지변,2000-05-17
SA203,배기변,2000-05-17
SA199,라인펌프장,2000-05-17
SA907,상수관신설공사,2000-05-17
SA910,수압측정지점,2000-05-17
SA111,취수탑,2000-05-17
SA113,정수장,2000-05-17
SA920,수원지,2000-05-17
SA922,침사지,2000-05-17
SA924,혼화지,2000-05-17
SA926,침전지,2000-05-17
SA928,오존실,2000-05-17
SA930,슬러지처리장,2000-05-17
SA931,정수지,2000-05-17
SA933,오존체류조,2000-05-17
SA935,일반건물,2000-05-17
SA940,펌프전동기,2000-05-17
SA942,첵크밸브,2000-05-17
SA944,감속기,2000-05-17
SA946,송풍기,2000-05-17
SA948,교반기,2000-05-17
SA949,밴드스크린,2000-05-17
SA951,염소기화기,2000-05-17
SA953,가성소다투입설비,2000-05-17
SA954,전기판넬,2000-05-17
SA956,열교환기,2000-05-17
SA958,공기건조기,2000-05-17
SA962,슬러지수집기,2000-05-17
SA963,탈수기,2000-05-17
SA965,크레인,2000-05-17
SA967,수배전반,2000-05-17
SA971,무정전전원장치,2000-05-17
SA972,보안등,2000-05-17
SA974,유량계,2000-05-17
SA976,온수탱크,2000-05-17
SA978,활성탄투입설비,2000-05-17
SA903,미보급지역,2000-05-17
SA114,배수지,2000-05-17
SA300,누수지점,2000-05-17
SA902,시간제급수지역,2000-05-17
SA906,마을/소규모급수시설,2000-05-17
SA911,상수관말,2000-05-17
SA913,펌프장,2000-05-17
SA117,유량계,2000-05-17
SA122,주계량기,2000-05-17
SA900,사업장사택,2000-05-17
SA110,수원지,2000-05-17
SA112,취수펌프장,2000-05-17
SA914,레듀샤,2000-05-17
SA921,취수구,2000-05-17
SA923,착수지,2000-05-17
SA925,응집지,2000-05-17
SA927,여과지,2000-05-17
SA929,입상활성탄여과지,2000-05-17
SA932,연계조절지,2000-05-17
SA934,약품탱크,2000-05-17
SA941,정수장제수변,2000-05-17
SA943,신축관,2000-05-17
SA945,유압실린더,2000-05-17
SA947,공기압축기,2000-05-17
SA950,염소투입기,2000-05-17
SA952,염소중화장치,2000-05-17
SA955,침사인양기,2000-05-17
SA957,건조기,2000-05-17
SA959,오존발생기,2000-05-17
SA961,오존파괴기,2000-05-17
SA968,계기용변성기,2000-05-17
SA970,배전선로,2000-05-17
SA975,수충격방지탱크,2000-05-17
SA901,급수불량지역,2000-05-17
SA915,신축관,2000-05-17
AI999,기타,2000-05-31
AJ010,양배수장경계,2000-05-31
AJ020,양식장경계,2000-05-31
AJ999,기타,2000-05-31
AZ001,소화전,2000-05-31
AZ010,급수탑,2000-05-31
AZ015,비상소화장치,2000-05-31
AZ030,환기구,2000-05-31
AZ050,관측소,2000-05-31
AZ060,헬기장,2000-05-31
AZ070,성절토상단,2000-05-31
AZ071,성절토하단,2000-05-31
AZ081,석축하단,2000-05-31
AZ086,옹벽하단,2000-05-31
AZ100,온천,2000-05-31
AZ110,기타경계선,2000-05-31
AZ120,적치장,2000-05-31
AZ130,매립지,2000-05-31
AZ140,채취장,2000-05-31
AZ150,기중기,2000-05-31
AB001,공동묘지,2000-05-31
AB002,묘지,2000-05-31
AB003,유적지,2000-05-31
AB010,기념비,2000-05-31
AB011,입상(동상),2000-05-31
AB020,성,2000-05-31
AB999,기타,2000-05-31
AK001,시장경계,2000-05-31
AK999,기타,2000-05-31
ZC000,미분류,2000-05-31
ZC001,시설물(미분류),2000-05-31
ZC002,건물및관련지물,2000-05-31
ZC003,문화및오락,2000-05-31
ZC004,처리시설,2000-05-31
ZC005,도로,2000-05-31
ZC006,도로시설(Ⅰ)(AE001-AE053),2000-05-31
ZC007,도로시설(Ⅱ)(AE100-AE160),2000-05-31
ZC008,도로시설(Ⅲ)(AE200-AE270),2000-05-31
ZC009,도로시설(Ⅳ)(AE300-AE340),2000-05-31
ZC010,철도,2000-05-31
ZC011,철도시설,2000-05-31
ZC012,산업시설,2000-05-31
ZC013,주거시설,2000-05-31
ZC014,농경시설,2000-05-31
ZC015,상업시설,2000-05-31
ZC099,시설물(기타),2000-05-31
ZC100,수계(미분류),2000-05-31
ZC101,내륙수계,2000-05-31
ZC102,내륙수계시설물,2000-05-31
ZC103,해양,2000-05-31
ZC199,수계(기타),2000-05-31
ZC200,지형/지질(미분류),2000-05-31
ZC201,고도,2000-05-31
ZC202,지질,2000-05-31
ZC203,지형,2000-05-31
ZC299,지형/지질(기타),2000-05-31
ZC300,식생(미분류),2000-05-31
ZC301,농작물재배지(지류),2000-05-31
ZC302,목장및방목,2000-05-31
ZC303,숲,2000-05-31
ZC304,경관,2000-05-31
ZC399,식생(기타),2000-05-31
ZC400,행정/경계(미분류),2000-05-31
ZC401,행정구역,2000-05-31
ZC402,도시계획,2000-05-31
ZC499,행정/경계(기타),2000-05-31
ZC500,지적(미분류),2000-05-31
ZC501,지적,2000-05-31
ZC599,지적(기타),2000-05-31
ZC601,난외주기,2000-05-31
ZC999,일반(기타),2000-05-31
BA001,하천경계,2000-05-31
BA002,하천중심선,2000-05-31
BA003,세류,2000-05-31
BA004,건천,2000-05-31
BA005,복개하천,2000-05-31
BA006,폐천,2000-05-31
BA010,"호수,저수지",2000-05-31
BA020,폭포,2000-05-31
BA030,유수방향,2000-05-31
BA100,하천구역경계,2000-05-31
BA200,모래경계,2000-05-31
BA201,습지경계,2000-05-31
BA202,염전경계,2000-05-31
BA203,갯벌경계,2000-05-31
BA204,수역경계,2000-05-31
BA205,댐유역계,2000-05-31
BA999,기타,2000-05-31
CC001,붕토지,2000-05-31
CC002,사태지,2000-05-31
CC003,벼랑바위,2000-05-31
CC004,너덜바위,2000-05-31
CC005,동굴입구,2000-05-31
CC010,능선,2000-05-31
CC020,분화구,2000-05-31
CC999,기타,2000-05-31
DA001,재배지경계,2000-05-31
DB001,목장및방목경계,2000-05-31
DC001,숲경계,2000-05-31
DD001,경관경계,2000-05-31
DZ001,기타경계,2000-05-31
DZ010,독립수,2000-05-31
BB002,제방하단,2000-05-31
BB005,기호제방,2000-05-31
BB010,수문,2000-05-31
BB020,댐,2000-05-31
BB030,보,2000-05-31
BB040,잔교,2000-05-31
BB060,나루노선,2000-05-31
BB100,"표석(x,y,z)",2000-05-31
BB999,기타,2000-05-31
BC001,해양,2000-05-31
AH001,저장조,2000-05-31
AH100,용수로,2000-05-31
AH200,광산,2000-05-31
AH999,기타,2000-05-31
ZD050,1/500 지형인덱스,2001-02-27
SB914,하천점용물,2001-05-21
AZ059,지하철역,2001-06-27
SA116,접합정,2001-12-12
SA405,블록,2002-02-15
SA936,상수원보호구역,2002-02-15
AZ950,공사중도로,2002-03-15
SA980,역세척수조,2002-03-25
SA981,회수조,2002-03-25
SA115,취수장,2002-10-23
SB510,오수계획관,2003-02-09
SB511,지선,2003-02-09
SB512,간선,2003-02-09
SB516,자연유하관,2003-02-09
SB517,압력관,2003-02-09
SB518,터널관,2003-02-09
SB520,오수계획맨홀,2003-02-09
SB530,오수계획펌프장,2003-02-09
SB251,침사지,2003-02-09
SB252,유량조정조,2003-02-09
SB253,분배조,2003-02-09
SB254,최초침전지,2003-02-09
SB255,최종침전지,2003-02-09
SB256,생물반응조,2003-02-09
SB257,소독조,2003-02-09
SB258,슬러지처리장,2003-02-09
SB259,기타수처리시설,2003-02-09
SB260,건물,2003-02-09
SB261,농축조,2003-02-09
SB262,탈수기,2003-02-09
SB263,기타면형시설,2003-02-09
SB264,소화조,2003-02-09
SA916,공사지점,2004-06-10
SC210,배전-지중맨홀,2006-09-18
SC212,배전-지중개폐기,2006-09-18
SC233,배전-지중변압기,2006-09-18
SC110,배전-가공전주,2006-09-18
SC220,배전-지중전력구,2006-09-18
SC901,배전-심도,2006-09-18
SC510,송전-지중맨홀,2006-12-05
SC540,송전-지중환기구,2006-12-05
SC521,송전-지중전력구,2006-12-05
SC903,송전-심도,2006-12-05
SG040,가스밸브,2006-12-05
SG010,가스정압기,2006-12-05
SG060,방식전위관측함,2006-12-05
SD100,시내통신맨홀,2006-12-05
SD900,통신관로심도,2006-12-05
SD300,시내통신주,2006-12-05
SD110,통신구,2006-12-05
ZA021,도시기준점,2006-12-21
ZA032,도근점,2006-12-21
ZA031,지적삼각점,2006-12-21
SB610,우수계획관,2007-07-30
SB620,우수계획맨홀,2007-07-30
SB630,우수계획펌프장,2007-07-30
SA982,스트레나,2007-07-31
AZ160,스틸그레이팅,2009-02-23
AE995,노면표지,2009-11-25
AE400,충격흡수대,2009-11-25
SA500,관세관장치,2010-08-24
AE180,도로측구,2010-11-29
SB920,차집시설,2011-06-08
SB701,면형오수암거,2011-11-15
SB702,면형오수개거,2011-11-15
SB930,배수설비연결관,2012-07-16
SB931,배수설비관,2012-07-26
SB932,면형차집암거,2012-08-23
SB933,면형우수암거,2012-08-23
SB934,면형우수개거,2012-08-23
UP111,국토계획_도시지역,2013-03-11
UP114,국토계획_자연환경보전지역,2013-03-11
UP121,국토계획_경관지구,2013-03-11
UP122,국토계획_미관지구,2013-03-11
UP123,국토계획_고도지구,2013-03-11
UP124,국토계획_방화지구,2013-03-11
UP127,국토계획_시설보호지구,2013-03-11
UP128,국토계획_취락지구,2013-03-11
UP131,국토계획_기타용도지구,2013-03-11
UP141,국토계획_구역,2013-03-11
UP151,국토계획_도시계획사업지역,2013-03-11
UP161,국토계획_교통시설,2013-03-11
UP162,국토계획_공간시설,2013-03-11
UP163,국토계획_유통및공급시설,2013-03-11
UP164,국토계획_공공문화체육시설,2013-03-11
UP165,국토계획_방재시설,2013-03-11
UP166,국토계획_보건위생시설,2013-03-11
UP167,국토계획_환경기초시설,2013-03-11
UP168,국토계획_기타기반시설,2013-03-11
UP801,국토계획_개발제한구역,2013-04-17
SB921,차집시설폐쇄,2013-05-02
SB105,점형시설물폐관,2013-06-10
SA917,관로내시경조사지점,2014-02-04
AH300,빈집,2015-11-25
AE171,공동주,2018-01-10
ME001,조가선,2018-01-10
AE171,공동주,2018-01-10
SA211,음수대,2018-04-27
SA207,유량조절밸브,2018-11-05
SA208,압력유지밸브,2018-11-06
SB450,유량계,2019-03-18
SB460,유량제어반,2019-03-18
SB461,차집제어반,2019-03-18
SA123,보조계량기,2019-10-07
SB106,전기전도도계,2020-09-18
