공간정보일련번호,지형지물부호,등록구,관리기관,행정동,허가번호,설치위치,방향,차도폭,길어깨(보도)의폭,높이,색상,도로구간번호,가로표지판규격,세로표지판규격,물건종류,허가구분
2,사설안내표지판,강서구,강서구,가락동,,,,21,4,0,,외부순환도로,,,,
3,사설안내표지판,강서구,강서구,명지동,,,,80,0,0,,,,,,
5,사설안내표지판,강서구,강서구,명지동,,,,46,3,0,,외부순환도로,,,,
6,사설안내표지판,강서구,강서구,명지동,,,,43,3,0,,외부순환도로,,,,
7,사설안내표지판,부산진구,,전포1동,부산진구1038,전포동 황령산레포츠 공원입구,공원입구에서 레포츠공원 방면,14,,4,흰(미)색바탕 갈색(계열)글자,진남로,1200,550,관광시설,허가
8,사설안내표지판,부산진구,,전포3동,부산진구1045,전포3동 성북초교옆 승우산업 앞,성북초교앞에서 이마트문현점 방면,34,4,4,흰(미)색바탕 검정(계열)글자,동성로,1200,550,의료시설,허가
9,사설안내표지판,연제구,,,,,,,,,,,,,,
10,사설안내표지판,연제구,,,,,,,,,,,,,,
12,사설안내표지판,기장군,기장군 건설과,철마면,2006103,기장군 철마면 연구리 543,,9,0,,,철마로,1500,850,,허가
13,사설안내표지판,부산진구,,당감2동,부산진구116,부산시 진구 당감동 8591번지,,19,,,기타,제2도시고속도로(동서고가로),1500,850,국가기관및기초자치단체(구군청),허가
14,사설안내표지판,사상구,,엄궁동,,,,,,,,대동로,,,,허가
15,사설안내표지판,부산진구,,전포1동,부산진구0925,부산진여중 옆,부산진여중에서 구)대우자동차 방면,11,1,4,흰(미)색바탕 남색글자,동성로,1200,550,기타,허가
16,사설안내표지판,수영구,수영구 도시국 도시관리과,남천2동,수영구201003호,부산광역시 수영구 남천동 51711(도),남천동로 방향,12,,,흰(미)색바탕 남색글자,남천역9길,1200,550,,허가
17,사설안내표지판,수영구,수영구 도시국 도시관리과,광안1동,수영구201007호,부산광역시 수영구 광안3동 1173,무학로 방향,,,,흰(미)색바탕 갈색(계열)글자,"수영로, 자성로",1200,550,,허가
18,사설안내표지판,수영구,수영구 도시국 도시관리과,수영동,수영구201233호,부산광역시 수영구 수영로 731,수영로 해운대방향,21,5,,기타,"수영로, 자성로",1200,550,,허가
19,사설안내표지판,수영구,수영구 도시국 도시관리과,민락동,수영구201211호,부산광역시 수영구 광안해변로 418 민락푸르지오 ,광안해변로방향,20,,,기타,수변공원길,1200,550,,허가
20,사설안내표지판,수영구,수영구 도시국 도시관리과,남천1동,수영구201219호,부산광역시 수영구 수영로 405,수영로 대남로타리방향,21,2,,기타,"수영로, 자성로",1200,550,,허가
21,사설안내표지판,부산진구,,전포1동,부산진구0929,황령산 레포츠공원 입구,레포츠공원 입구에서 레포츠공원 방면,9,,3,흰(미)색바탕 갈색(계열)글자,진남로,1200,550,관광시설,허가
22,사설안내표지판,부산진구,,부암3동,부산진구110,부산시 진구 부암3동 6251번지 앞,,5,,,,백양산4로,1400,1000,교육기관(학교 등),허가
23,사설안내표지판,남구,남구 도시국 도시관리과,문현3동,남구20069,전포로 삼성힐타워아파트 앞,문현교차로에서 문전역 방향,42,4,,흰(미)색바탕 청색글자,"충장로, 전포로,거제로",800,400,공동주택,허가
24,사설안내표지판,금정구,,장전2동,,,,7,4,0,,식물원길,,,,
25,사설안내표지판,사상구,,엄궁동,사상구20027,엄궁동 530번지 선도,,25,5,5,흰(미)색바탕 청색글자,"대영로, 낙동로,금곡로",1500,850,기타,허가
