공간정보일련번호,지형지물부호,등록구,관리기관,명칭,구경,형식,제작회사,최대유량,설치일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
"18,897",유량계,부산진구,부산진사업소,-,200,-,-,0,2021-07-02,전포2배수지,-,-,-,-
292,유량계,금정구,동래통합사업소,제22블록 유량계,250,전자식,서용엔지니어링,0,2021-06-04,명장정수장(가압),양호,상수맨홀,금정구,블록
311,유량계,금정구,동래통합사업소,제23블록 유량계,200,전자식,서용엔지니어링,0,2021-06-04,명장정수장(가압),양호,-,금정구,블록
290,유량계,금정구,동래통합사업소,제15블록 유량계,250,전자식,서용엔지니어링,0,2021-06-04,덕천가압장(시내),양호,-,금정구,블록
141,유량계,동래구,동래통합사업소,3블록유량계,200,전자식,(주)서용엔지니어링,0,2021-06-04,덕천가압장(시내),양호,상수맨홀,동래구,블록
190,유량계,동래구,동래통합사업소,17블록유량계,200,전자식,(주)서용엔지니어링,0,2021-06-04,명장배수지,양호,상수맨홀,동래구,블록
196,유량계,금정구,동래통합사업소,제14블록 유량계,250,전자식,서용엔지니어링,0,2021-06-04,덕천가압장(시내),양호,상수맨홀,금정구,블록
319,유량계,연제구,동래통합사업소,37블록 유량계,250,전자식,(주)서용엔지니어링,0,2021-06-04,명장배수지,양호,상수맨홀,연제구,블록
364,유량계,연제구,동래통합사업소,50블록 유량계,250,전자식,(주)서용엔지니어링,0,2021-06-04,덕천가압장(시내),양호,상수맨홀,연제구,블록
365,유량계,연제구,동래통합사업소,52블록 유량계,250,전자식,(주)서용엔지니어링,0,2021-06-04,덕천가압장(시내),양호,상수맨홀,연제구,블록
249,유량계,사상구,북부사업소,46-1블록 유량계,300,전자식,서용엔지니어링,0,2021-05-27,덕산정수장(생활직송),양호,상수맨홀,사상구,블록
140,유량계,사상구,북부사업소,41블록 유량계,200,전자식,서용엔지니어링,0,2021-05-27,덕산정수장(생활직송),양호,상수맨홀,사상구,블록
353,유량계,북구,북부사업소,16블록 유량계,250,초음파식,HSCMT,290624.66,2021-05-27,만덕가압장,양호,상수맨홀,북구,블록
